Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/25  21:00:00,1.872570622,0.8818353758,0,0,0,0,0,0.77499358,0.1694243458,0.3335921806,0.5738605161
08/25  22:00:00,1.507941212,1.168454995,0,0.43725016,0.0117075796,0.0117075796,0.0117075796,0.57879267,0.1265321229,0.2736061058,0.4966027341
08/25  23:00:00,1.157847768,1.479847943,0,0.9103155887,0.02437412995,0.02437412995,0.02437412995,0.4022118898,0.08792908667,0.1910941259,0.4315385355
08/25  24:00:00,0.7965396522,1.690589599,0,1.294761932,0.03466786241,0.03466786241,0.03466786241,0.2060109798,0.04503686375,0.1331758464,0.3569480999
08/26  01:00:00,0.6638543865,1.987992573,0,1.662750641,0.04452093395,0.04452093395,0.04452093395,0.122625516,0.02680764229,0.1205451182,0.328655176
08/26  02:00:00,0.6050866694,2.287963831,0,1.985372506,0.05315928679,0.05315928679,0.05315928679,0.08338538755,0.01822920246,0.1047681113,0.3248446812
08/26  03:00:00,0.5964709022,2.544562514,0,2.235006241,0.059843348,0.059843348,0.059843348,0.08338538755,0.01822920246,0.09404087676,0.3202720875
08/26  04:00:00,0.5990924696,2.706877728,0,2.329481443,0.06237296616,0.06237296616,0.06237296616,0.08338538755,0.01822920246,0.106231147,0.3081737665
08/26  05:00:00,0.6565332676,3.011593688,0,2.33841266,0.0626121037,0.0626121037,0.0626121037,0.08829041036,0.01930150863,0.1217320898,0.3438971552
08/26  06:00:00,0.8383200832,3.398052406,0,2.171468692,0.05814210011,0.05814210011,0.05814210011,0.1422456507,0.03109687646,0.1887961112,0.3973393447
08/26  07:00:00,1.141542131,3.944316156,0,2.55994557,0.06854375203,0.06854375203,0.06854375203,0.2501561743,0.05468761688,0.2877517642,0.4222028232
08/26  08:00:00,1.037641984,3.170998879,0,1.825693924,0.04888381733,0.04888381733,0.04888381733,0.1962009125,0.04289224667,0.3720169078,0.3569480999
08/26  09:00:00,0.9378669971,2.550079076,0,1.334704134,0.03573733373,0.03573733373,0.03573733373,0.09810045598,0.02144612096,0.4580913889,0.3037916975
08/26  10:00:00,0.9341702048,1.952559956,0,0.8981473767,0.02404832032,0.02404832032,0.02404832032,0.07848036474,0.01715689629,0.4828482482,0.3109363752
08/26  11:00:00,0.9319592516,1.023767187,0,0.1202935461,0.003220916528,0.003220916528,0.003220916528,0.07848036474,0.01715689629,0.5013694365,0.3110316376
08/26  12:00:00,0.9066846401,0.7854392062,0,0,0,0,0,0.07848036474,0.01715689629,0.4845551718,0.3057922073
08/26  13:00:00,0.8760651703,0.7163968003,0,0,0,0,0,0.07848036474,0.01715689629,0.4433615789,0.3163663303
08/26  14:00:00,0.8594568918,0.6597594787,0,0,0,0,0,0.07848036474,0.01715689629,0.4089392373,0.3341803935
